;name;qid;measure;value
505;BR(BM25);67;recip_rank;0.25
506;BR(BM25);68;map;0.14267184206881744
507;BR(BM25);68;recip_rank;1.0
508;BR(BM25);69;map;0.4209529775773336
509;BR(BM25);69;recip_rank;1.0
384;BR(BM25);7;map;0.5642047247688208
385;BR(BM25);7;recip_rank;0.5
510;BR(BM25);70;map;0.13225734549138804
511;BR(BM25);70;recip_rank;0.25
512;BR(BM25);71;map;0.30286381077743657
513;BR(BM25);71;recip_rank;0.5
514;BR(BM25);72;map;0.4698367086172365
515;BR(BM25);72;recip_rank;1.0
516;BR(BM25);73;map;0.4439769795351133
517;BR(BM25);73;recip_rank;1.0
518;BR(BM25);74;map;0.22336817152878863
519;BR(BM25);74;recip_rank;1.0
520;BR(BM25);75;map;0.7573023961362366
521;BR(BM25);75;recip_rank;1.0
522;BR(BM25);76;map;0.34887840917252677
523;BR(BM25);76;recip_rank;1.0
524;BR(BM25);77;map;0.40666806999475974
525;BR(BM25);77;recip_rank;1.0
526;BR(BM25);78;map;0.12465113987029522
527;BR(BM25);78;recip_rank;0.09090909090909091
528;BR(BM25);79;map;0.09052417899748409
529;BR(BM25);79;recip_rank;0.5
386;BR(BM25);8;map;0.5
387;BR(BM25);8;recip_rank;0.5
530;BR(BM25);80;map;0.007527739538410313
531;BR(BM25);80;recip_rank;0.010526315789473684
532;BR(BM25);81;map;0.303024453024453
533;BR(BM25);81;recip_rank;1.0
534;BR(BM25);82;map;0.23783887077339128
535;BR(BM25);82;recip_rank;1.0
536;BR(BM25);83;map;0.244742445680393
537;BR(BM25);83;recip_rank;1.0
538;BR(BM25);84;map;0.3266358436915434
539;BR(BM25);84;recip_rank;1.0
540;BR(BM25);85;map;0.006028239258753032
541;BR(BM25);85;recip_rank;0.015384615384615385
542;BR(BM25);86;map;0.08274253671921475
543;BR(BM25);86;recip_rank;0.1111111111111111
544;BR(BM25);87;map;0.22469403053575254
545;BR(BM25);87;recip_rank;1.0
546;BR(BM25);88;map;0.06447589268560527
547;BR(BM25);88;recip_rank;0.1111111111111111
548;BR(BM25);89;map;0.08654470347517877
549;BR(BM25);89;recip_rank;0.1
388;BR(BM25);9;map;0.5212765957446809
389;BR(BM25);9;recip_rank;1.0
550;BR(BM25);90;map;0.17641331948733663
551;BR(BM25);90;recip_rank;1.0
552;BR(BM25);91;map;0.3538877003700387
553;BR(BM25);91;recip_rank;1.0
554;BR(BM25);92;map;0.08238566524995546
555;BR(BM25);92;recip_rank;0.25
556;BR(BM25);93;map;0.21096342143543687
557;BR(BM25);93;recip_rank;0.14285714285714285
558;BR(PL2);1;map;0.23698826813581161
559;BR(PL2);1;recip_rank;1.0
576;BR(PL2);10;map;0.11475115146473361
577;BR(PL2);10;recip_rank;0.5
578;BR(PL2);11;map;0.09569964349376114
579;BR(PL2);11;recip_rank;0.09090909090909091
580;BR(PL2);12;map;0.17371125513222077
581;BR(PL2);12;recip_rank;0.3333333333333333
582;BR(PL2);13;map;0.24871502072781632
583;BR(PL2);13;recip_rank;1.0
584;BR(PL2);14;map;0.2680591524875348
585;BR(PL2);14;recip_rank;1.0
586;BR(PL2);15;map;0.15331945435385078
587;BR(PL2);15;recip_rank;0.3333333333333333
588;BR(PL2);16;map;0.06341998613462772
589;BR(PL2);16;recip_rank;0.5
590;BR(PL2);17;map;0.3899640753333681
591;BR(PL2);17;recip_rank;1.0
