;name;qid;measure;value
124;BR(BM25);405717;map;0.3225376238188225
167;BR(BM25);405717;map;0.3305857822142169
31;BR(BM25);443396;map;0.0051569672304236005
74;BR(BM25);443396;map;0.009094641979536203
117;BR(BM25);443396;map;0.055765707451833214
160;BR(BM25);443396;map;0.0051569672304236005
16;BR(BM25);451602;map;0.1222083710122119
59;BR(BM25);451602;map;0.12955485340530845
102;BR(BM25);451602;map;0.150266005320646
145;BR(BM25);451602;map;0.1222083710122119
37;BR(BM25);47923;map;0.4053943863395969
80;BR(BM25);47923;map;0.35069558456323147
123;BR(BM25);47923;map;0.38022610647365707
166;BR(BM25);47923;map;0.4053943863395969
4;BR(BM25);489204;map;0.05524243172997209
47;BR(BM25);489204;map;0.03189137785564672
90;BR(BM25);489204;map;0.021594828217791278
133;BR(BM25);489204;map;0.05524243172997209
28;BR(BM25);490595;map;0.409778728038802
71;BR(BM25);490595;map;0.3366021574763489
114;BR(BM25);490595;map;0.44101960961209724
157;BR(BM25);490595;map;0.409778728038802
8;BR(BM25);527433;map;0.06404295885898756
51;BR(BM25);527433;map;0.07315377837583828
94;BR(BM25);527433;map;0.11526835852299001
137;BR(BM25);527433;map;0.06404295885898756
5;BR(BM25);573724;map;0.5802085582932004
48;BR(BM25);573724;map;0.6917362335321362
91;BR(BM25);573724;map;0.6116952172711816
134;BR(BM25);573724;map;0.5802085582932004
22;BR(BM25);833860;map;0.13967445985008758
65;BR(BM25);833860;map;0.24930334348633934
108;BR(BM25);833860;map;0.4545231553802042
151;BR(BM25);833860;map;0.13967445985008758
34;BR(BM25);855410;map;0.8041666666666667
77;BR(BM25);855410;map;0.8041666666666667
120;BR(BM25);855410;map;0.8875
163;BR(BM25);855410;map;0.8041666666666667
30;BR(BM25);87181;map;0.6835678687268827
73;BR(BM25);87181;map;0.6414061457933996
116;BR(BM25);87181;map;0.6742566495049133
159;BR(BM25);87181;map;0.6835678687268827
33;BR(BM25);87452;map;0.24784534594519325
76;BR(BM25);87452;map;0.35883217527028743
119;BR(BM25);87452;map;0.3569102584885199
162;BR(BM25);87452;map;0.24784534594519325
10;BR(BM25);915593;map;0.3699400745025535
53;BR(BM25);915593;map;0.33963609813846346
96;BR(BM25);915593;map;0.33875150763921985
139;BR(BM25);915593;map;0.3699400745025535
13;BR(BM25);962179;map;0.05870083376308316
56;BR(BM25);962179;map;0.4167517653009367
99;BR(BM25);962179;map;0.5905688194779344
142;BR(BM25);962179;map;0.05870083376308316
353;Compose(BR(BM25), BR(PL2));1037798;map;0.07189952281624899
365;Compose(BR(BM25), BR(PL2));104861;map;0.5308549374193554
346;Compose(BR(BM25), BR(PL2));1063750;map;0.1859488933271446
373;Compose(BR(BM25), BR(PL2));1103812;map;0.2226556859832796
370;Compose(BR(BM25), BR(PL2));1106007;map;0.32509999784050764
345;Compose(BR(BM25), BR(PL2));1110199;map;0.43819690811407613
363;Compose(BR(BM25), BR(PL2));1112341;map;0.08371943725982742
384;Compose(BR(BM25), BR(PL2));1113437;map;0.09651828199778618
379;Compose(BR(BM25), BR(PL2));1114646;map;0.38096226384710025
368;Compose(BR(BM25), BR(PL2));1114819;map;0.5313819424652936
362;Compose(BR(BM25), BR(PL2));1115776;map;0.33430787963457137
358;Compose(BR(BM25), BR(PL2));1117099;map;0.24460050046415335
356;Compose(BR(BM25), BR(PL2));1121402;map;0.7948240491465247
376;Compose(BR(BM25), BR(PL2));1121709;map;0.32896377454502795
371;Compose(BR(BM25), BR(PL2));1124210;map;0.7788803257011969
385;Compose(BR(BM25), BR(PL2));1129237;map;0.4826955430310685
351;Compose(BR(BM25), BR(PL2));1133167;map;0.7643650502388677
347;Compose(BR(BM25), BR(PL2));130510;map;0.8643717676020158
364;Compose(BR(BM25), BR(PL2));131843;map;0.33203608757511227
386;Compose(BR(BM25), BR(PL2));146187;map;0.709311017779048
359;Compose(BR(BM25), BR(PL2));148538;map;0.2310607947939255
344;Compose(BR(BM25), BR(PL2));156493;map;0.8069531772943248
350;Compose(BR(BM25), BR(PL2));168216;map;0.7564657235294329
383;Compose(BR(BM25), BR(PL2));182539;map;0.7893481794061318
369;Compose(BR(BM25), BR(PL2));183378;map;0.4150530865837598
380;Compose(BR(BM25), BR(PL2));19335;map;0.3335794646124564
367;Compose(BR(BM25), BR(PL2));207786;map;0.42236830651560936
355;Compose(BR(BM25), BR(PL2));264014;map;0.47826430698158173
361;Compose(BR(BM25), BR(PL2));359349;map;0.48913290492287925
382;Compose(BR(BM25), BR(PL2));405717;map;0.35116010977768686
375;Compose(BR(BM25), BR(PL2));443396;map;0.04413664150721679
360;Compose(BR(BM25), BR(PL2));451602;map;0.1829488839075716
381;Compose(BR(BM25), BR(PL2));47923;map;0.42036907465582657
348;Compose(BR(BM25), BR(PL2));489204;map;0.041234026359218794
372;Compose(BR(BM25), BR(PL2));490595;map;0.3501100493566654
352;Compose(BR(BM25), BR(PL2));527433;map;0.06362181941688262
349;Compose(BR(BM25), BR(PL2));573724;map;0.6200375057420086
366;Compose(BR(BM25), BR(PL2));833860;map;0.4042686734685302
378;Compose(BR(BM25), BR(PL2));855410;map;0.8875
374;Compose(BR(BM25), BR(PL2));87181;map;0.6319412813482467
377;Compose(BR(BM25), BR(PL2));87452;map;0.3525294162444019
354;Compose(BR(BM25), BR(PL2));915593;map;0.34494734926823206
357;Compose(BR(BM25), BR(PL2));962179;map;0.520531289186221
310;Compose(BR(BM25), BR(TF_IDF));1037798;map;0.12877239297248594
322;Compose(BR(BM25), BR(TF_IDF));104861;map;0.46964741971820373
303;Compose(BR(BM25), BR(TF_IDF));1063750;map;0.18244536549219356
330;Compose(BR(BM25), BR(TF_IDF));1103812;map;0.3305793315993192
327;Compose(BR(BM25), BR(TF_IDF));1106007;map;0.31326310527172585
302;Compose(BR(BM25), BR(TF_IDF));1110199;map;0.4417057923891542
320;Compose(BR(BM25), BR(TF_IDF));1112341;map;0.1122756912934242
341;Compose(BR(BM25), BR(TF_IDF));1113437;map;0.124267538440193
336;Compose(BR(BM25), BR(TF_IDF));1114646;map;0.538257830997684
325;Compose(BR(BM25), BR(TF_IDF));1114819;map;0.583882497852142
319;Compose(BR(BM25), BR(TF_IDF));1115776;map;0.35168634096116685
315;Compose(BR(BM25), BR(TF_IDF));1117099;map;0.2718225049392946
313;Compose(BR(BM25), BR(TF_IDF));1121402;map;0.8201776550714861
333;Compose(BR(BM25), BR(TF_IDF));1121709;map;0.3369334136958508
328;Compose(BR(BM25), BR(TF_IDF));1124210;map;0.9099985816841552
342;Compose(BR(BM25), BR(TF_IDF));1129237;map;0.4862699473476731
308;Compose(BR(BM25), BR(TF_IDF));1133167;map;0.7757450117495516
304;Compose(BR(BM25), BR(TF_IDF));130510;map;0.8716061611370234
321;Compose(BR(BM25), BR(TF_IDF));131843;map;0.33203608757511227
